Geo,Year,Latitude,Longitude
510010901011,2024,37.96299382,-75.35046981
510010901011,2045,37.96299382,-75.35046981
510010901012,2024,37.91996673,-75.36691309
510010901012,2045,37.91996673,-75.36691309
510010901021,2024,37.92891183,-75.3752592
510010901021,2045,37.92891183,-75.3752592
510010901022,2024,37.90407321,-75.39750799
510010901022,2045,37.90407321,-75.39750799
510010902011,2024,37.9717519,-75.49395528
510010902011,2045,37.9717519,-75.49395528
510010902012,2024,37.98311893,-75.41157923
510010902012,2045,37.98311893,-75.41157923
510010902021,2024,37.91014286,-75.50652481
510010902021,2045,37.91014286,-75.50652481
510010902022,2024,37.83767561,-75.55093884
510010902022,2045,37.83767561,-75.55093884
510010902023,2024,37.80004153,-75.57565004
510010902023,2045,37.80004153,-75.57565004
510010903001,2024,37.74825458,-75.60184936
510010903001,2045,37.74825458,-75.60184936
510010903002,2024,37.67814716,-75.63103223
510010903002,2045,37.67814716,-75.63103223
510010903003,2024,37.64705298,-75.74043835
510010903003,2045,37.64705298,-75.74043835
510010904011,2024,37.97688261,-75.57052091
510010904011,2045,37.97688261,-75.57052091
510010904012,2024,37.91272317,-75.55859113
510010904012,2045,37.91272317,-75.55859113
510010904021,2024,37.92456445,-75.69441512
510010904021,2045,37.92456445,-75.69441512
510010904022,2024,37.88810771,-75.58922092
510010904022,2045,37.88810771,-75.58922092
510010905001,2024,37.86240597,-75.65965348
510010905001,2045,37.86240597,-75.65965348
510010905002,2024,37.83785353,-75.71300162
510010905002,2045,37.83785353,-75.71300162
510010905003,2024,37.78792026,-75.76843879
510010905003,2045,37.78792026,-75.76843879
510010906001,2024,37.79306486,-75.64863015
510010906001,2045,37.79306486,-75.64863015
510010906002,2024,37.74841209,-75.68150326
510010906002,2045,37.74841209,-75.68150326
510010906003,2024,37.70931122,-75.74435603
510010906003,2045,37.70931122,-75.74435603
510010906004,2024,37.86734044,-75.92724489
510010906004,2045,37.86734044,-75.92724489
510010907001,2024,37.69464823,-75.79952975
510010907001,2045,37.69464823,-75.79952975
510010907002,2024,37.67494756,-75.71007687
510010907002,2045,37.67494756,-75.71007687
510010907003,2024,37.61779222,-75.77017558
510010907003,2045,37.61779222,-75.77017558
510010907004,2024,37.65749386,-75.79204038
510010907004,2045,37.65749386,-75.79204038
510010907005,2024,37.6031845,-75.8759288
510010907005,2045,37.6031845,-75.8759288
510010908001,2024,37.62597615,-75.67913523
510010908001,2045,37.62597615,-75.67913523
510010908002,2024,37.54657284,-75.79165775
510010908002,2045,37.54657284,-75.79165775
510010908003,2024,37.94464911,-75.32696575
510010908003,2045,37.94464911,-75.32696575
510019801001,2024,37.89896204,-75.45250448
510019801001,2045,37.89896204,-75.45250448
510019802001,2024,38.03032086,-78.43907196
510019802001,2045,38.03032086,-78.43907196
510019901000,2024,37.53449252,-75.71771445
510019901000,2045,37.53449252,-75.71771445
510019902000,2024,37.75457351,-75.4500659
510019902000,2045,37.75457351,-75.4500659
510030101001,2024,37.73141775,-76.04787739
510030101001,2045,37.73141775,-76.04787739
510030101002,2024,38.20393242,-78.54088797
510030101002,2045,38.20393242,-78.54088797
510030101003,2024,38.17834335,-78.67875532
510030101003,2045,38.17834335,-78.67875532
510030102011,2024,38.12255129,-78.6075198
510030102011,2045,38.12255129,-78.6075198
510030102012,2024,38.17403638,-78.46076682
510030102012,2045,38.17403638,-78.46076682
510030102013,2024,38.10817215,-78.53293991
510030102013,2045,38.10817215,-78.53293991
510030102021,2024,38.15933059,-78.41543636
510030102021,2045,38.15933059,-78.41543636
510030102022,2024,38.17081469,-78.39244841
510030102022,2045,38.17081469,-78.39244841
510030103011,2024,38.05894654,-78.41515523
510030103011,2045,38.05894654,-78.41515523
510030103021,2024,38.13576186,-78.49172758
510030103021,2045,38.13576186,-78.49172758
