Geo,Year,UrbanArea,TownArea,RuralArea
510019902000,2024,0,1,0
510019902000,2045,0,1,0
511039901000,2024,0,1,0
511039901000,2045,0,1,0
511159901000,2024,0,1,0
511159901000,2045,0,1,0
511199901000,2024,0,1,0
511199901000,2045,0,1,0
511319901000,2024,0,1,0
511319901000,2045,0,1,0
511339901000,2024,0,1,0
511339901000,2045,0,1,0
511999901000,2024,0,1,0
511999901000,2045,0,1,0
516509901000,2024,0,1,0
516509901000,2045,0,1,0
517109900000,2024,0,1,0
517109900000,2045,0,1,0
517359901000,2024,0,1,0
517359901000,2045,0,1,0
518109901000,2024,0,1,0
518109901000,2045,0,1,0
510019901000,2024,0,0.12,0.12
510019901000,2045,0,0.12,0.12
510594405041,2024,0.4,0,0
510594405041,2045,0.4,0,0
510131014051,2024,4.9,0,0
510131014051,2045,4.9,0,0
510131035042,2024,5.62,0,0
510131035042,2045,5.62,0,0
510131014061,2024,5.74,0,0
510131014061,2045,5.74,0,0
510131028031,2024,5.97,0,0
510131028031,2045,5.97,0,0
510594528014,2024,6.3,0,0
510594528014,2045,6.3,0,0
510131035032,2024,6.49,0,0
510131035032,2045,6.49,0,0
510131014071,2024,7.21,0,0
510131014071,2045,7.21,0,0
510131016035,2024,7.57,0,0
510131016035,2045,7.57,0,0
510131014072,2024,8.24,0,0
510131014072,2045,8.24,0,0
510131035035,2024,8.46,0,0
510131035035,2045,8.46,0,0
510131018052,2024,8.73,0,0
510131018052,2045,8.73,0,0
510131014081,2024,8.95,0,0
510131014081,2045,8.95,0,0
510131035034,2024,9.31,0,0
510131035034,2045,9.31,0,0
510131014052,2024,9.33,0,0
510131014052,2045,9.33,0,0
510131014073,2024,9.76,0,0
510131014073,2045,9.76,0,0
515102004071,2024,9.96,0,0
515102004071,2045,9.96,0,0
510131016032,2024,10.09,0,0
510131016032,2045,10.09,0,0
510131017052,2024,11.22,0,0
510131017052,2045,11.22,0,0
510131035033,2024,11.56,0,0
510131035033,2045,11.56,0,0
510131015013,2024,11.62,0,0
510131015013,2045,11.62,0,0
510131018053,2024,11.69,0,0
510131018053,2045,11.69,0,0
510131035012,2024,11.73,0,0
510131035012,2045,11.73,0,0
510131017042,2024,11.77,0,0
510131017042,2045,11.77,0,0
515102003012,2024,11.82,0,0
515102003012,2045,11.82,0,0
510594822033,2024,11.86,0,0
510594822033,2045,11.86,0,0
510131014091,2024,12.03,0,0
510131014091,2045,12.03,0,0
510131028032,2024,12.04,0,0
510131028032,2045,12.04,0,0
510131017041,2024,12.07,0,0
510131017041,2045,12.07,0,0
510131014062,2024,12.7,0,0
510131014062,2045,12.7,0,0
515102016021,2024,12.87,0,0
515102016021,2045,12.87,0,0
510594528013,2024,13.34,0,0
510594528013,2045,13.34,0,0
